user_id,signup_date,country,device_type,acquisition_channel,age_group,email
1,2024-01-01,CA,tablet,organic_search,55+,heatherchurch@example.org
2,2024-05-10,IN,desktop,social_media,25-34,williamsstephanie@example.com
3,2024-01-01,IN,mobile,paid_search,55+,taylorlinda@example.org
4,2024-02-21,US,desktop,paid_search,55+,sandra50@example.com
5,2024-04-13,US,desktop,organic_search,18-24,garycastillo@example.org
6,2024-01-01,US,desktop,paid_search,55+,kentmatthew@example.org
7,2024-01-01,US,mobile,social_media,55+,jennifer80@example.org
8,2024-04-25,IN,mobile,direct,25-34,kimberlysantiago@example.net
9,2024-01-01,US,mobile,paid_search,45-54,sullivanmercedes@example.org
10,2024-01-01,AU,tablet,organic_search,45-54,jessicashaffer@example.org
11,2024-01-01,FR,desktop,organic_search,55+,cindymendoza@example.net
12,2024-02-19,US,desktop,paid_search,18-24,gabrielle34@example.org
13,2024-02-16,FR,mobile,organic_search,55+,christinekim@example.com
14,2024-01-01,BR,tablet,direct,25-34,jeanburns@example.com
15,2024-01-29,UK,desktop,paid_search,18-24,robert03@example.com
16,2024-01-01,IN,tablet,organic_search,45-54,karen29@example.net
17,2024-01-01,IN,tablet,referral,55+,gfoster@example.net
18,2024-06-07,AU,desktop,paid_search,18-24,joan91@example.org
19,2024-04-26,DE,desktop,paid_search,18-24,gharris@example.org
20,2024-04-29,IN,tablet,social_media,18-24,lisaedwards@example.com
21,2024-03-21,US,desktop,social_media,25-34,meganbartlett@example.com
22,2024-01-27,US,mobile,organic_search,55+,leonardjulie@example.net
23,2024-01-01,CA,mobile,social_media,55+,chase72@example.net
24,2024-01-01,BR,desktop,email,25-34,sanderskevin@example.org
25,2024-01-01,IN,mobile,paid_search,35-44,vmartinez@example.net
26,2024-01-01,US,mobile,social_media,18-24,robinsonandrew@example.net
27,2024-01-01,UK,mobile,organic_search,35-44,rhodesbrandi@example.org
28,2024-01-01,SG,desktop,organic_search,55+,aaronjones@example.com
29,2024-06-29,IN,tablet,direct,55+,justin21@example.net
30,2024-01-01,AU,mobile,referral,18-24,vross@example.com
31,2024-01-01,US,mobile,email,25-34,shannon88@example.net
32,2024-01-01,US,desktop,paid_search,35-44,georgelopez@example.net
33,2024-03-19,UK,tablet,direct,18-24,yallison@example.com
34,2024-05-24,IN,desktop,organic_search,25-34,perezkaren@example.com
35,2024-05-26,BR,desktop,paid_search,45-54,adamsmelissa@example.net
36,2024-04-17,US,desktop,direct,25-34,hannahsmith@example.org
37,2024-04-09,US,desktop,social_media,45-54,kimberlylopez@example.com
38,2024-01-01,US,desktop,referral,18-24,brenda84@example.org
39,2024-01-04,US,desktop,organic_search,55+,bradfordchris@example.org
40,2024-01-29,BR,mobile,referral,25-34,joanne14@example.org
41,2024-01-01,BR,mobile,direct,18-24,melissaterrell@example.org
42,2024-01-01,DE,desktop,referral,25-34,hrojas@example.net
43,2024-01-01,US,mobile,paid_search,18-24,flemingtimothy@example.com
44,2024-03-01,US,mobile,paid_search,35-44,kelleyanthony@example.org
45,2024-01-01,US,mobile,paid_search,35-44,kristina97@example.org
46,2024-01-01,BR,desktop,social_media,45-54,umitchell@example.net
47,2024-06-16,BR,mobile,referral,18-24,brownmaxwell@example.net
48,2024-01-01,US,tablet,organic_search,18-24,lmoss@example.com
49,2024-05-05,IN,mobile,paid_search,55+,tina27@example.org
50,2024-03-22,US,mobile,organic_search,18-24,uyoung@example.com
51,2024-02-13,US,tablet,social_media,25-34,robert47@example.org
52,2024-01-07,IN,tablet,referral,55+,jasonyoder@example.org
53,2024-01-01,AU,desktop,direct,55+,joseph48@example.com
54,2024-01-01,AU,desktop,email,55+,rmorris@example.org
55,2024-01-01,US,mobile,paid_search,25-34,ywheeler@example.net
56,2024-05-15,UK,mobile,direct,35-44,ashleygibbs@example.com
57,2024-01-01,US,mobile,social_media,35-44,rebeccahall@example.com
58,2024-02-28,IN,mobile,social_media,25-34,marypitts@example.net
59,2024-06-06,US,mobile,social_media,35-44,hannaallison@example.com
60,2024-01-01,FR,mobile,social_media,25-34,stevenallen@example.com
